client,brand,use_case_name,extract_date,start_date,end_date,analysis_level,granularity,channel,place_channel,path,description,avg_time,mean_time,avg_time_non_ntb,mean_time_non_ntb,avg_time_ntb,mean_time_ntb,impressions_all_users,impressions_cost_all_users,clicks_all_users,reach,impressions_brand_store,impressions,impressions_cost,clicks,user_video_clicks_views,video_clicks_views,user_video_midpoint_views,video_midpoint_views,user_video_third_quartile_views,video_third_quartile_views,user_video_first_quartile_views,video_first_quartile_views,user_video_complete_views,video_complete_views,video_pause_views,video_replay_views,video_resume_views,video_unmute_views,video_mute_views,video_skip_backward_views,video_skip_forward_views,user_detail_page_view,detail_page_view,user_detail_page_view_clicks,detail_page_view_clicks,user_detail_page_view_views,detail_page_view_views,user_add_to_cart,add_to_cart,user_add_to_cart_clicks,add_to_cart_clicks,user_add_to_cart_views,add_to_cart_views,user_total_detail_page_view,total_detail_page_view,user_total_detail_page_view_clicks,total_detail_page_view_clicks,user_total_detail_page_view_views,total_detail_page_view_views,user_total_add_to_cart,total_add_to_cart,user_total_add_to_cart_clicks,total_add_to_cart_clicks,user_total_add_to_cart_views,total_add_to_cart_views,user_purchased,product_sales,purchases,units_sold,user_total_purchased,total_purchases,total_product_sales,total_units_sold,ntb_purchased,ntb_product_sales,ntb_purchases,ntb_units_sold,ntb_total_purchased,total_ntb_purchases,total_ntb_product_sales,total_ntb_units_sold
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/DSP BRAND STORE, 2/SEARCH]",Path to conversion per channel (levier in french),0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,28498,0,482176,410.6697871800001,768,0,0,1247,1520,824,973,2415,3110,621,712,0,0,0,2,0,0,0,436,871,384,780,57,91,35,41,0,0,35,41,767,1740,390,881,420,859,235,325,1,1,234,324,134,3904.2700,167,184,232,309,7616.1300,336,95,2652.0800,110,119,158,194,4972.8700,209
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/SEARCH, 2/DSP, 3/SEARCH BRAND STORE, 4/BRAND STORE]",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,34,35,9436,173.59998727999997,110,0,0,16,34,13,23,18,50,10,16,0,0,0,0,0,0,0,18,219,18,217,1,2,4,5,0,0,4,5,21,278,21,270,4,8,4,5,0,0,4,5,5,157.9500,8,8,5,10,177.1800,10,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","[1/DSP BRAND STORE, 2/SEARCH BRAND STORE]",Path to conversion per format (format in french),"","","","","","",0,0.0,0,2059,0,24840,3.6951310999999976,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,6,12,2,2,0,0,2,2,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1,1,103,0.02098747,1,0,0,1,2,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","[1/DSP, 2/SEARCH BRAND STORE, 3/DSP BRAND STORE]",Path to conversion per format (format in french),"","","","","","",0,0.0,0,369,0,11230,11.757475520000002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,3,3,0,0,3,3,4,4,1,1,3,3,3,3,0,0,3,3,1,12.8700,1,1,1,1,12.8700,1,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,1,3,327,7.41323976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","[1/DSP BRAND STORE, 2/BRAND STORE, 3/SEARCH, 4/DSP]",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,5,6,227,0.07812648,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,5,0,0,0,0,0,0,0,0,2,5,2,5,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","[1/DSP BRAND STORE, 2/SEARCH, 3/SEARCH BRAND STORE, 4/BRAND STORE]",Path to conversion per format (format in french),"","","","","","",0,0.0,0,6,6,373,11.320508709999999,7,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,3,1,2,1,1,0,0,0,0,0,0,2,4,1,3,1,1,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Format,"","","",Path to conversion per format (format in french),"","","","","","",0,0.0,0,11,12,540,0.44174786,12,0,0,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
L'OREAL,MULTI,L'OREAL HOMME PPD - Full Funnel Analysis,2025-08-11,2025-05-16,2025-06-30,Path to conversion,Channel,"","","",Path to conversion per channel (levier in french),"","","","","","",0,0.0,0,1,1,2657,7.491182230000001,20,0,0,1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,1,80,1,71,1,9,0,0,0,0,0,0,1,136,1,126,1,10,0,0,0,0,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0.0000,0
